transcript_id	genome_ribo_reads	genome_rna_reads	txome_ribo_reads	txome_rna_reads
ENST00000219478.11	95	19	80	17
ENST00000219479.7	303	290	285	241
ENST00000219481.10	276	21	288	18
ENST00000219548.9	633	261	636	103
ENST00000219596.5	1	0	1	0
ENST00000219599.8	0	0	0	0
ENST00000219611.7	144	124	142	104
ENST00000219660.6	0	1	0	0
ENST00000219689.11	104	22	99	18
ENST00000219746.14	6	0	6	0
ENST00000219782.10	846	485	796	388
ENST00000219789.11	473	110	453	89
ENST00000219837.12	510	118	580	97
ENST00000219905.11	1916	329	1864	241
ENST00000219919.9	0	0	0	0
ENST00000220003.13	473	83	474	70
ENST00000220058.9	304	35	293	31
ENST00000220062.9	1	0	0	0
ENST00000220166.10	63	2	55	1
ENST00000220325.9	797	78	693	51
ENST00000220420.10	0	0	0	0
ENST00000220429.12	668	35	641	30
ENST00000220478.8	0	0	0	0
ENST00000220496.9	291	37	332	23
ENST00000220507.5	56	3	53	3
ENST00000220509.10	554	121	538	100
ENST00000220514.8	428	39	415	16
ENST00000220531.9	367	53	359	32
ENST00000220562.9	200	46	198	39
ENST00000220592.10	599	80	564	66
ENST00000220597.4	29	4	29	4
ENST00000220616.9	1	0	0	0
ENST00000220659.11	257	25	251	18
ENST00000220669.10	434	46	467	32
ENST00000220751.5	305	47	296	37
ENST00000220763.10	253	17	247	8
ENST00000220764.7	681	78	673	64
ENST00000220772.8	0	0	0	0
ENST00000220809.9	66	8	66	4
ENST00000220812.3	0	0	0	0
ENST00000220822.12	489	24	475	17
ENST00000220849.10	1331	284	2053	341
ENST00000220853.8	662	61	648	38
ENST00000220876.12	0	0	0	0
ENST00000220913.10	339	52	346	38
ENST00000220940.2	0	0	0	0
ENST00000220959.8	1851	463	1841	360
ENST00000220966.10	285	32	281	29
ENST00000221086.8	355	25	356	22
ENST00000221114.8	514	72	565	60
ENST00000221130.11	1520	259	1506	217
ENST00000221132.8	274	11	233	7
ENST00000221138.9	551	130	613	103
ENST00000221166.10	0	0	0	0
ENST00000221200.9	86	10	806	59
ENST00000221233.9	499	69	444	60
ENST00000221265.8	761	179	751	137
ENST00000221283.10	332	36	225	14
ENST00000221315.10	77	19	49	8
ENST00000221399.8	0	0	0	0
ENST00000221403.7	8	1	6	2
ENST00000221418.9	1047	194	1042	157
ENST00000221419.9	1413	542	2409	637
ENST00000221431.11	94	11	90	10
ENST00000221444.1	0	0	0	0
ENST00000221455.8	312	145	306	123
ENST00000221459.7	16	6	14	6
ENST00000221462.9	167	68	170	56
ENST00000221476.4	1	0	1	0
ENST00000221480.6	16	2	14	2
ENST00000221485.8	0	0	0	0
ENST00000221486.6	1010	263	974	196
ENST00000221494.10	569	114	568	98
ENST00000221496.5	8	31	8	27
ENST00000221498.7	3	0	3	0
ENST00000221515.6	0	1	0	0
ENST00000221538.8	0	0	0	0
ENST00000221543.10	246	56	244	41
ENST00000221566.7	629	90	568	72
ENST00000221573.11	215	17	205	13
ENST00000221665.5	101	1	89	1
ENST00000221671.8	129	14	126	11
ENST00000221700.11	0	0	0	0
ENST00000221730.8	0	2	0	2
ENST00000221742.7	0	0	0	0
ENST00000221797.5	0	0	0	0
ENST00000221801.8	1105	571	1126	471
ENST00000221804.5	0	0	0	0
ENST00000221847.6	14	0	13	0
ENST00000221855.8	593	125	589	107
ENST00000221856.11	368	68	350	59
ENST00000221859.9	326	112	318	85
ENST00000221891.9	322	44	309	33
ENST00000221930.6	632	118	626	91
ENST00000221943.13	482	22	425	15
ENST00000221954.6	0	0	0	0
ENST00000221957.9	939	227	837	160
ENST00000221972.8	2	0	2	0
ENST00000221978.10	0	0	0	0
ENST00000221980.5	303	90	287	77
ENST00000221992.11	0	0	0	0
ENST00000221996.12	0	1	0	0
ENST00000222002.4	0	0	0	0
ENST00000222005.7	1038	503	1125	423
ENST00000222008.11	522	106	226	59
ENST00000222032.10	34	7	35	7
ENST00000222033.6	0	0	0	0
ENST00000222120.8	114	6	92	6
ENST00000222122.10	93	4	89	4
ENST00000222139.11	112	12	102	11
ENST00000222145.9	927	206	870	163
ENST00000222219.8	694	77	678	62
ENST00000222224.4	208	31	201	18
ENST00000222247.10	27	18	857	667
ENST00000222248.4	0	0	0	0
ENST00000222249.13	0	0	0	0
ENST00000222250.5	109	19	111	14
ENST00000222254.13	0	0	0	0
ENST00000222256.9	110	1	100	0
ENST00000222271.7	0	0	0	0
ENST00000222284.10	564	96	558	69
ENST00000222286.9	1	16	1	10
ENST00000222305.8	260	112	241	87
ENST00000222329.9	568	217	474	143
ENST00000222330.8	461	90	454	66
ENST00000222339.7	282	39	275	24
ENST00000222345.11	438	52	409	38
ENST00000222374.3	43	7	41	5
ENST00000222381.8	0	0	0	0
ENST00000222388.6	0	0	0	0
ENST00000222390.11	0	0	0	0
ENST00000222399.11	4109	959	3947	713
ENST00000222402.8	42	6	36	5
ENST00000222462.3	0	0	0	0
ENST00000222481.9	2	0	2	0
ENST00000222482.10	870	67	849	54
ENST00000222511.11	642	48	604	35
ENST00000222543.11	416	19	402	15
ENST00000222547.8	324	22	346	14
ENST00000222553.8	277	19	1373	87
ENST00000222567.6	422	30	421	23
ENST00000222573.5	309	31	313	18
ENST00000222574.9	858	78	849	61
ENST00000222584.8	317	6	310	3
ENST00000222644.9	971	109	957	85
